state,district,month,recommendations
Arunachal Pradesh,Dibang Valley,2025-12-01,Maintain Current Operations
Arunachal Pradesh,East Kameng,2025-12-01,Maintain Current Operations
Arunachal Pradesh,East Siang,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Kamle,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Kra Daadi,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Kurung Kumey,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Leparada,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Lohit,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Longding,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Lower Dibang Valley,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Lower Siang,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Lower Subansiri,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Namsai,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Pakke Kessang,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Papum Pare,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Shi-Yomi,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Siang,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Tawang,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Tirap,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Upper Siang,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Upper Subansiri,2025-12-01,Maintain Current Operations
Arunachal Pradesh,West Kameng,2025-12-01,Maintain Current Operations
Arunachal Pradesh,West Siang,2025-12-01,Maintain Current Operations
Assam,Bajali,2025-12-01,Maintain Current Operations
Assam,Baksa,2025-12-01,Maintain Current Operations
Assam,Barpeta,2025-12-01,Maintain Current Operations
Assam,Biswanath,2025-12-01,Maintain Current Operations
Assam,Bongaigaon,2025-12-01,Maintain Current Operations
Assam,Cachar,2025-12-01,Maintain Current Operations
Assam,Charaideo,2025-12-01,Maintain Current Operations
Assam,Chirang,2025-12-01,Maintain Current Operations
Assam,Darrang,2025-12-01,Maintain Current Operations
Assam,Dhemaji,2025-12-01,Maintain Current Operations
Assam,Dhubri,2025-12-01,Maintain Current Operations
Assam,Dibrugarh,2025-12-01,Maintain Current Operations
Assam,Dima Hasao,2025-12-01,Maintain Current Operations
Assam,Goalpara,2025-12-01,Maintain Current Operations
Assam,Golaghat,2025-12-01,Maintain Current Operations
Assam,Hailakandi,2025-12-01,Maintain Current Operations
Assam,Hojai,2025-12-01,Maintain Current Operations
Assam,Jorhat,2025-12-01,Maintain Current Operations
Assam,Kamrup,2025-12-01,Maintain Current Operations
Assam,Kamrup Metro,2025-12-01,Maintain Current Operations
Assam,Karbi Anglong,2025-12-01,Maintain Current Operations
Assam,Karimganj,2025-12-01,Maintain Current Operations
Assam,Kokrajhar,2025-12-01,Maintain Current Operations
Assam,Lakhimpur,2025-12-01,Maintain Current Operations
Assam,Majuli,2025-12-01,Maintain Current Operations
Assam,Marigaon,2025-12-01,Maintain Current Operations
Assam,Nagaon,2025-12-01,Maintain Current Operations
Assam,Nalbari,2025-12-01,Maintain Current Operations
Assam,North Cachar Hills,2025-12-01,Maintain Current Operations
Assam,Sibsagar,2025-12-01,Maintain Current Operations
Assam,Sonitpur,2025-12-01,Maintain Current Operations
Assam,South Salmara Mankachar,2025-12-01,Maintain Current Operations
Assam,Sribhumi,2025-12-01,Maintain Current Operations
Assam,Tamulpur District,2025-12-01,Maintain Current Operations
Assam,Tinsukia,2025-12-01,Maintain Current Operations
Assam,Udalguri,2025-12-01,Maintain Current Operations
Assam,West Karbi Anglong,2025-12-01,Maintain Current Operations
Bihar,Araria,2025-12-01,Maintain Current Operations
Bihar,Arwal,2025-12-01,Maintain Current Operations
Bihar,Aurangabad,2025-12-01,Maintain Current Operations
Bihar,Aurangabad(Bh),2025-12-01,Maintain Current Operations
Bihar,Banka,2025-12-01,Maintain Current Operations
Bihar,Begusarai,2025-12-01,Maintain Current Operations
Bihar,Bhabua,2025-12-01,Maintain Current Operations
Bihar,Bhagalpur,2025-12-01,Maintain Current Operations
Bihar,Bhojpur,2025-12-01,Maintain Current Operations
Bihar,Buxar,2025-12-01,Maintain Current Operations
Bihar,Darbhanga,2025-12-01,Maintain Current Operations
Bihar,East Champaran,2025-12-01,Maintain Current Operations
Bihar,Gaya,2025-12-01,Maintain Current Operations
Bihar,Gopalganj,2025-12-01,Maintain Current Operations
Bihar,Jamui,2025-12-01,Maintain Current Operations
Bihar,Jehanabad,2025-12-01,Maintain Current Operations
Bihar,Kaimur (Bhabua),2025-12-01,Maintain Current Operations
Bihar,Katihar,2025-12-01,Maintain Current Operations
Bihar,Khagaria,2025-12-01,Maintain Current Operations
Bihar,Kishanganj,2025-12-01,Maintain Current Operations
Bihar,Lakhisarai,2025-12-01,Maintain Current Operations
Bihar,Madhepura,2025-12-01,Maintain Current Operations
Bihar,Madhubani,2025-12-01,Maintain Current Operations
Bihar,Monghyr,2025-12-01,Maintain Current Operations
Bihar,Munger,2025-12-01,Maintain Current Operations
Bihar,Muzaffarpur,2025-12-01,Maintain Current Operations
Bihar,Nalanda,2025-12-01,Maintain Current Operations
Bihar,Nawada,2025-12-01,Maintain Current Operations
Bihar,Pashchim Champaran,2025-12-01,Maintain Current Operations
Bihar,Patna,2025-12-01,Maintain Current Operations
Bihar,Purba Champaran,2025-12-01,Maintain Current Operations
Bihar,Purnea,2025-12-01,Maintain Current Operations
Bihar,Purnia,2025-12-01,Maintain Current Operations
Bihar,Rohtas,2025-12-01,Maintain Current Operations
Bihar,Saharsa,2025-12-01,Maintain Current Operations
Bihar,Samastipur,2025-12-01,Maintain Current Operations
Bihar,Samstipur,2025-12-01,Maintain Current Operations
Bihar,Saran,2025-12-01,Maintain Current Operations
Bihar,Sheikhpura,2025-12-01,Maintain Current Operations
Bihar,Sheikpura,2025-12-01,Maintain Current Operations
Bihar,Sheohar,2025-12-01,Maintain Current Operations
Bihar,Sitamarhi,2025-12-01,Maintain Current Operations
Bihar,Siwan,2025-12-01,Maintain Current Operations
Bihar,Supaul,2025-12-01,Maintain Current Operations
Bihar,Vaishali,2025-12-01,Maintain Current Operations
Bihar,West Champaran,2025-12-01,Maintain Current Operations
Chandigarh,Chandigarh,2025-12-01,Maintain Current Operations
Chandigarh,Mohali,2025-12-01,Maintain Current Operations
Chandigarh,Rupnagar,2025-12-01,Maintain Current Operations
Chhattisgarh,Balod,2025-12-01,Maintain Current Operations
Chhattisgarh,Baloda Bazar,2025-12-01,Maintain Current Operations
Chhattisgarh,Balrampur,2025-12-01,Maintain Current Operations
Chhattisgarh,Bastar,2025-12-01,Maintain Current Operations
Chhattisgarh,Bemetara,2025-12-01,Maintain Current Operations
Chhattisgarh,Bijapur,2025-12-01,Maintain Current Operations
Chhattisgarh,Bilaspur,2025-12-01,Maintain Current Operations
Chhattisgarh,Dakshin Bastar Dantewada,2025-12-01,Maintain Current Operations
Chhattisgarh,Dantewada,2025-12-01,Maintain Current Operations
Chhattisgarh,Dhamtari,2025-12-01,Maintain Current Operations
Chhattisgarh,Durg,2025-12-01,Maintain Current Operations
Chhattisgarh,Gariyaband,2025-12-01,Maintain Current Operations
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-12-01,Maintain Current Operations
Chhattisgarh,Janjgir - Champa,2025-12-01,Maintain Current Operations
Chhattisgarh,Janjgir Champa,2025-12-01,Maintain Current Operations
Chhattisgarh,Janjgir-Champa,2025-12-01,Maintain Current Operations
Chhattisgarh,Jashpur,2025-12-01,Maintain Current Operations
Chhattisgarh,Kabeerdham,2025-12-01,Maintain Current Operations
Chhattisgarh,Kanker,2025-12-01,Maintain Current Operations
Chhattisgarh,Kawardha,2025-12-01,Maintain Current Operations
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12-01,Maintain Current Operations
Chhattisgarh,Kondagaon,2025-12-01,Maintain Current Operations
Chhattisgarh,Korba,2025-12-01,Maintain Current Operations
Chhattisgarh,Koriya,2025-12-01,Maintain Current Operations
Chhattisgarh,Mahasamund,2025-12-01,Maintain Current Operations
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-12-01,Maintain Current Operations
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-12-01,Maintain Current Operations
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-12-01,Maintain Current Operations
Chhattisgarh,Mungeli,2025-12-01,Maintain Current Operations
Chhattisgarh,Narayanpur,2025-12-01,Maintain Current Operations
Chhattisgarh,Raigarh,2025-12-01,Maintain Current Operations
Chhattisgarh,Raipur,2025-12-01,Maintain Current Operations
Chhattisgarh,Rajnandgaon,2025-12-01,Maintain Current Operations
Chhattisgarh,Sakti,2025-12-01,Maintain Current Operations
Chhattisgarh,Sarangarh-Bilaigarh,2025-12-01,Maintain Current Operations
Chhattisgarh,Sukma,2025-12-01,Maintain Current Operations
Chhattisgarh,Surajpur,2025-12-01,Maintain Current Operations
Chhattisgarh,Surguja,2025-12-01,Maintain Current Operations
Chhattisgarh,Uttar Bastar Kanker,2025-12-01,Maintain Current Operations
Dadra And Nagar Haveli,Dadra & Nagar Haveli,2025-12-01,Maintain Current Operations
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-12-01,Maintain Current Operations
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-12-01,Maintain Current Operations
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-12-01,Maintain Current Operations
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-12-01,Maintain Current Operations
Daman And Diu,Daman,2025-12-01,Maintain Current Operations
Daman And Diu,Diu,2025-12-01,Maintain Current Operations
Delhi,Central Delhi,2025-12-01,Maintain Current Operations
Delhi,East Delhi,2025-12-01,Maintain Current Operations
Delhi,Najafgarh,2025-12-01,Maintain Current Operations
Delhi,New Delhi,2025-12-01,Maintain Current Operations
Delhi,North Delhi,2025-12-01,Maintain Current Operations
Delhi,North East,2025-12-01,Maintain Current Operations
Delhi,North East Delhi,2025-12-01,Maintain Current Operations
Delhi,North West Delhi,2025-12-01,Maintain Current Operations
Delhi,Shahdara,2025-12-01,Maintain Current Operations
Delhi,South Delhi,2025-12-01,Maintain Current Operations
Delhi,South East Delhi,2025-12-01,Maintain Current Operations
Delhi,South West Delhi,2025-12-01,Maintain Current Operations
Delhi,West Delhi,2025-12-01,Maintain Current Operations
Goa,Bardez,2025-12-01,Maintain Current Operations
Goa,Bicholim,2025-12-01,Maintain Current Operations
Goa,North Goa,2025-12-01,Maintain Current Operations
Goa,South Goa,2025-12-01,Maintain Current Operations
Goa,Tiswadi,2025-12-01,Maintain Current Operations
Gujarat,Ahmadabad,2025-12-01,Maintain Current Operations
Gujarat,Ahmedabad,2025-12-01,Initiate School/Center-based Biometric Update Drive (High Bio Load)
Gujarat,Amreli,2025-12-01,Maintain Current Operations
Gujarat,Anand,2025-12-01,Maintain Current Operations
Gujarat,Arvalli,2025-12-01,Maintain Current Operations
Gujarat,Banas Kantha,2025-12-01,Maintain Current Operations
Gujarat,Banaskantha,2025-12-01,Maintain Current Operations
Gujarat,Bharuch,2025-12-01,Maintain Current Operations
Gujarat,Bhavnagar,2025-12-01,Maintain Current Operations
Gujarat,Botad,2025-12-01,Maintain Current Operations
Gujarat,Chhotaudepur,2025-12-01,Maintain Current Operations
Gujarat,Dahod,2025-12-01,Maintain Current Operations
Gujarat,Devbhumi Dwarka,2025-12-01,Maintain Current Operations
Gujarat,Dohad,2025-12-01,Maintain Current Operations
Gujarat,Gandhinagar,2025-12-01,Maintain Current Operations
Gujarat,Gir Somnath,2025-12-01,Maintain Current Operations
Gujarat,Jamnagar,2025-12-01,Maintain Current Operations
Gujarat,Junagadh,2025-12-01,Maintain Current Operations
Gujarat,Kachchh,2025-12-01,Maintain Current Operations
Gujarat,Kheda,2025-12-01,Maintain Current Operations
Gujarat,Mahesana,2025-12-01,Maintain Current Operations
Gujarat,Mahisagar,2025-12-01,Maintain Current Operations
Gujarat,Morbi,2025-12-01,Maintain Current Operations
Gujarat,Narmada,2025-12-01,Maintain Current Operations
Gujarat,Navsari,2025-12-01,Maintain Current Operations
Gujarat,Panch Mahals,2025-12-01,Maintain Current Operations
Gujarat,Panchmahals,2025-12-01,Maintain Current Operations
Gujarat,Patan,2025-12-01,Maintain Current Operations
Gujarat,Porbandar,2025-12-01,Maintain Current Operations
Gujarat,Rajkot,2025-12-01,Maintain Current Operations
Gujarat,Sabar Kantha,2025-12-01,Maintain Current Operations
Gujarat,Sabarkantha,2025-12-01,Maintain Current Operations
Gujarat,Surat,2025-12-01,Maintain Current Operations
Gujarat,Surendra Nagar,2025-12-01,Maintain Current Operations
Gujarat,Surendranagar,2025-12-01,Maintain Current Operations
Gujarat,Tapi,2025-12-01,Maintain Current Operations
Gujarat,The Dangs,2025-12-01,Maintain Current Operations
Gujarat,Vadodara,2025-12-01,Maintain Current Operations
Gujarat,Valsad,2025-12-01,Maintain Current Operations
Haryana,Ambala,2025-12-01,Maintain Current Operations
Haryana,Bhiwani,2025-12-01,Maintain Current Operations
Haryana,Charkhi Dadri,2025-12-01,Maintain Current Operations
Haryana,Faridabad,2025-12-01,Maintain Current Operations
Haryana,Fatehabad,2025-12-01,Maintain Current Operations
Haryana,Gurgaon,2025-12-01,Maintain Current Operations
Haryana,Hisar,2025-12-01,Maintain Current Operations
Haryana,Jhajjar,2025-12-01,Maintain Current Operations
Haryana,Jind,2025-12-01,Maintain Current Operations
Haryana,Kaithal,2025-12-01,Maintain Current Operations
Haryana,Karnal,2025-12-01,Maintain Current Operations
Haryana,Kurukshetra,2025-12-01,Maintain Current Operations
Haryana,Mahendragarh,2025-12-01,Maintain Current Operations
Haryana,Mewat,2025-12-01,Maintain Current Operations
Haryana,Palwal,2025-12-01,Maintain Current Operations
Haryana,Panchkula,2025-12-01,Maintain Current Operations
Haryana,Panipat,2025-12-01,Maintain Current Operations
Haryana,Rewari,2025-12-01,Maintain Current Operations
Haryana,Rohtak,2025-12-01,Maintain Current Operations
Haryana,Sirsa,2025-12-01,Maintain Current Operations
Haryana,Sonipat,2025-12-01,Maintain Current Operations
Haryana,Yamuna Nagar,2025-12-01,Maintain Current Operations
Haryana,Yamunanagar,2025-12-01,Maintain Current Operations
Himachal Pradesh,Bilaspur,2025-12-01,Maintain Current Operations
Himachal Pradesh,Chamba,2025-12-01,Maintain Current Operations
Himachal Pradesh,Hamirpur,2025-12-01,Maintain Current Operations
Himachal Pradesh,Kangra,2025-12-01,Maintain Current Operations
Himachal Pradesh,Kinnaur,2025-12-01,Maintain Current Operations
Himachal Pradesh,Kullu,2025-12-01,Maintain Current Operations
Himachal Pradesh,Lahaul And Spiti,2025-12-01,Maintain Current Operations
Himachal Pradesh,Lahul & Spiti,2025-12-01,Maintain Current Operations
Himachal Pradesh,Lahul And Spiti,2025-12-01,Maintain Current Operations
Himachal Pradesh,Mandi,2025-12-01,Maintain Current Operations
Himachal Pradesh,Shimla,2025-12-01,Maintain Current Operations
Himachal Pradesh,Sirmaur,2025-12-01,Maintain Current Operations
Himachal Pradesh,Solan,2025-12-01,Maintain Current Operations
Himachal Pradesh,Una,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Anantnag,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Badgam,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Bandipore,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Bandipur,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Baramula,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Budgam,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Doda,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Ganderbal,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Jammu,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Kargil,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Kathua,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Kishtwar,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Kulgam,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Kupwara,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Leh,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Leh (Ladakh),2025-12-01,Maintain Current Operations
Jammu And Kashmir,Poonch,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Pulwama,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Punch,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Rajauri,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Rajouri,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Ramban,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Reasi,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Samba,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Shupiyan,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Srinagar,2025-12-01,Maintain Current Operations
Jammu And Kashmir,Udhampur,2025-12-01,Maintain Current Operations
Jharkhand,Bokaro,2025-12-01,Maintain Current Operations
Jharkhand,Bokaro *,2025-12-01,Maintain Current Operations
Jharkhand,Chatra,2025-12-01,Maintain Current Operations
Jharkhand,Deoghar,2025-12-01,Maintain Current Operations
Jharkhand,Dhanbad,2025-12-01,Maintain Current Operations
Jharkhand,Dumka,2025-12-01,Maintain Current Operations
Jharkhand,East Singhbhum,2025-12-01,Maintain Current Operations
Jharkhand,Garhwa,2025-12-01,Maintain Current Operations
Jharkhand,Garhwa *,2025-12-01,Maintain Current Operations
Jharkhand,Giridih,2025-12-01,Maintain Current Operations
Jharkhand,Godda,2025-12-01,Maintain Current Operations
Jharkhand,Gumla,2025-12-01,Maintain Current Operations
Jharkhand,Hazaribag,2025-12-01,Maintain Current Operations
Jharkhand,Hazaribagh,2025-12-01,Maintain Current Operations
Jharkhand,Jamtara,2025-12-01,Maintain Current Operations
Jharkhand,Khunti,2025-12-01,Maintain Current Operations
Jharkhand,Kodarma,2025-12-01,Maintain Current Operations
Jharkhand,Koderma,2025-12-01,Maintain Current Operations
Jharkhand,Latehar,2025-12-01,Maintain Current Operations
Jharkhand,Lohardaga,2025-12-01,Maintain Current Operations
Jharkhand,Pakaur,2025-12-01,Maintain Current Operations
Jharkhand,Pakur,2025-12-01,Maintain Current Operations
Jharkhand,Palamau,2025-12-01,Maintain Current Operations
Jharkhand,Palamu,2025-12-01,Maintain Current Operations
Jharkhand,Pashchimi Singhbhum,2025-12-01,Maintain Current Operations
Jharkhand,Purbi Singhbhum,2025-12-01,Maintain Current Operations
Jharkhand,Ramgarh,2025-12-01,Maintain Current Operations
Jharkhand,Ranchi,2025-12-01,Maintain Current Operations
Jharkhand,Sahebganj,2025-12-01,Maintain Current Operations
Jharkhand,Sahibganj,2025-12-01,Maintain Current Operations
Jharkhand,Seraikela-Kharsawan,2025-12-01,Maintain Current Operations
Jharkhand,Simdega,2025-12-01,Maintain Current Operations
Jharkhand,West Singhbhum,2025-12-01,Maintain Current Operations
Karnataka,Bagalkot,2025-12-01,Maintain Current Operations
Karnataka,Bagalkot *,2025-12-01,Maintain Current Operations
Karnataka,Ballari,2025-12-01,Maintain Current Operations
Karnataka,Bangalore,2025-12-01,Maintain Current Operations
Karnataka,Bangalore Rural,2025-12-01,Maintain Current Operations
Karnataka,Belagavi,2025-12-01,Maintain Current Operations
Karnataka,Belgaum,2025-12-01,Maintain Current Operations
Karnataka,Bellary,2025-12-01,Maintain Current Operations
Karnataka,Bengaluru,2025-12-01,Maintain Current Operations
Karnataka,Bengaluru Rural,2025-12-01,Maintain Current Operations
Karnataka,Bengaluru South,2025-12-01,Maintain Current Operations
Karnataka,Bidar,2025-12-01,Maintain Current Operations
Karnataka,Bijapur,2025-12-01,Maintain Current Operations
Karnataka,Bijapur(Kar),2025-12-01,Maintain Current Operations
Karnataka,Chamarajanagar,2025-12-01,Maintain Current Operations
Karnataka,Chamarajanagar *,2025-12-01,Maintain Current Operations
Karnataka,Chamrajanagar,2025-12-01,Maintain Current Operations
Karnataka,Chamrajnagar,2025-12-01,Maintain Current Operations
Karnataka,Chickmagalur,2025-12-01,Maintain Current Operations
Karnataka,Chikkaballapur,2025-12-01,Maintain Current Operations
Karnataka,Chikkamagaluru,2025-12-01,Maintain Current Operations
Karnataka,Chikmagalur,2025-12-01,Maintain Current Operations
Karnataka,Chitradurga,2025-12-01,Maintain Current Operations
Karnataka,Dakshina Kannada,2025-12-01,Maintain Current Operations
Karnataka,Davanagere,2025-12-01,Maintain Current Operations
Karnataka,Davangere,2025-12-01,Maintain Current Operations
Karnataka,Dharwad,2025-12-01,Maintain Current Operations
Karnataka,Gadag,2025-12-01,Maintain Current Operations
Karnataka,Gadag *,2025-12-01,Maintain Current Operations
Karnataka,Gulbarga,2025-12-01,Maintain Current Operations
Karnataka,Hasan,2025-12-01,Maintain Current Operations
Karnataka,Hassan,2025-12-01,Maintain Current Operations
Karnataka,Haveri,2025-12-01,Maintain Current Operations
Karnataka,Haveri *,2025-12-01,Maintain Current Operations
Karnataka,Kalaburagi,2025-12-01,Maintain Current Operations
Karnataka,Kodagu,2025-12-01,Maintain Current Operations
Karnataka,Kolar,2025-12-01,Maintain Current Operations
Karnataka,Koppal,2025-12-01,Maintain Current Operations
Karnataka,Mandya,2025-12-01,Maintain Current Operations
Karnataka,Mysore,2025-12-01,Maintain Current Operations
Karnataka,Mysuru,2025-12-01,Maintain Current Operations
Karnataka,Raichur,2025-12-01,Maintain Current Operations
Karnataka,Ramanagar,2025-12-01,Maintain Current Operations
Karnataka,Shimoga,2025-12-01,Maintain Current Operations
Karnataka,Shivamogga,2025-12-01,Maintain Current Operations
Karnataka,Tumakuru,2025-12-01,Maintain Current Operations
Karnataka,Tumkur,2025-12-01,Maintain Current Operations
Karnataka,Udupi,2025-12-01,Maintain Current Operations
Karnataka,Udupi *,2025-12-01,Maintain Current Operations
Karnataka,Uttara Kannada,2025-12-01,Maintain Current Operations
Karnataka,Vijayanagara,2025-12-01,Maintain Current Operations
Karnataka,Vijayapura,2025-12-01,Maintain Current Operations
Karnataka,Yadgir,2025-12-01,Maintain Current Operations
Kerala,Alappuzha,2025-12-01,Maintain Current Operations
Kerala,Ernakulam,2025-12-01,Maintain Current Operations
Kerala,Idukki,2025-12-01,Maintain Current Operations
Kerala,Kannur,2025-12-01,Maintain Current Operations
Kerala,Kasaragod,2025-12-01,Maintain Current Operations
Kerala,Kasargod,2025-12-01,Maintain Current Operations
Kerala,Kollam,2025-12-01,Maintain Current Operations
Kerala,Kottayam,2025-12-01,Maintain Current Operations
Kerala,Kozhikode,2025-12-01,Maintain Current Operations
Kerala,Malappuram,2025-12-01,Maintain Current Operations
Kerala,Palakkad,2025-12-01,Maintain Current Operations
Kerala,Pathanamthitta,2025-12-01,Maintain Current Operations
Kerala,Thiruvananthapuram,2025-12-01,Maintain Current Operations
Kerala,Thrissur,2025-12-01,Maintain Current Operations
Kerala,Wayanad,2025-12-01,Maintain Current Operations
Ladakh,Kargil,2025-12-01,Maintain Current Operations
Ladakh,Leh,2025-12-01,Maintain Current Operations
Lakshadweep,Lakshadweep,2025-12-01,Maintain Current Operations
Madhya Pradesh,Agar Malwa,2025-12-01,Maintain Current Operations
Madhya Pradesh,Alirajpur,2025-12-01,Maintain Current Operations
Madhya Pradesh,Anuppur,2025-12-01,Maintain Current Operations
Madhya Pradesh,Ashok Nagar,2025-12-01,Maintain Current Operations
Madhya Pradesh,Balaghat,2025-12-01,Maintain Current Operations
Madhya Pradesh,Barwani,2025-12-01,Maintain Current Operations
Madhya Pradesh,Betul,2025-12-01,Maintain Current Operations
Madhya Pradesh,Bhind,2025-12-01,Maintain Current Operations
Madhya Pradesh,Bhopal,2025-12-01,Maintain Current Operations
Madhya Pradesh,Burhanpur,2025-12-01,Maintain Current Operations
Madhya Pradesh,Chhatarpur,2025-12-01,Maintain Current Operations
Madhya Pradesh,Chhindwara,2025-12-01,Maintain Current Operations
Madhya Pradesh,Damoh,2025-12-01,Maintain Current Operations
Madhya Pradesh,Datia,2025-12-01,Maintain Current Operations
